lat,lon,use_type,use_code,year_built,gross_area,story_height,number_of_stories,address,Address,Type,fire_late,fire_early,Fire_final
38.0304189,-78.47859100000002,,Apartments over 20 units,1973.0,10050.0,12.0,2.0,"406 MARKET ST Charlottesville, VA",406 MARKET ST,Commercial,0,0.0,0.0
38.02693,-78.51151312647892,R,Office Building,1925.0,1626.0,10.0,2.0,"1904 JEFFERSON PARK AVE Charlottesville, VA",1904 JEFFERSON PARK AVE,Commercial,0,0.0,0.0
38.0235910165687,-78.4616574620483,C,Dist. Warehouse,1973.0,3750.0,12.0,1.0,"131 FRANKLIN ST Charlottesville, VA",131 FRANKLIN ST,Commercial,0,0.0,0.0
38.023657899999996,-78.4906741632787,R,Church,1946.0,1680.0,12.0,1.0,"719 RIDGE ST Charlottesville, VA",719 RIDGE ST,Commercial,0,0.0,0.0
38.0279118,-78.4984352,R,Office,1910.0,2213.0,8.0,1.0,"1018 CHERRY AVE Charlottesville, VA",1018 CHERRY AVE,Commercial,0,0.0,0.0
38.0439227,-78.4693113,R,Condominium - Commercial,2012.0,2467.0,10.0,1.0,"600 WILDER DR Charlottesville, VA",600 WILDER DR,Commercial,0,0.0,0.0
38.02255185,-78.51673435,R,Multiple Commercial Use,1987.0,2179.0,11.0,1.0,"128 STRIBLING AVE Charlottesville, VA",128 STRIBLING AVE,Commercial,0,0.0,0.0
38.0235723,-78.51734590000002,R,Commercial,1987.0,2156.0,12.0,1.0,"127 STRIBLING AVE Charlottesville, VA",127 STRIBLING AVE,Commercial,0,0.0,0.0
38.03364970000001,-78.48258679999998,R,Multiple Commercial Use,1950.0,408.0,10.0,3.0,"400 HIGH ST Charlottesville, VA",400 HIGH ST,Commercial,0,0.0,0.0
38.0295756,-78.4834747,R,Service Repair Garage,1940.0,906.0,12.0,1.0,"208 SOUTH ST Charlottesville, VA",208 SOUTH ST,Commercial,0,0.0,0.0
38.0295756,-78.4834747,R,Service Repair Garage,1940.0,200.0,12.0,1.0,"208 SOUTH ST Charlottesville, VA",208 SOUTH ST,Commercial,0,0.0,0.0
38.05092,-78.50729059999998,R,Retail Store,1973.0,5961.0,12.0,1.0,"2401 ARLINGTON BLVD Charlottesville, VA",2401 ARLINGTON BLVD,Commercial,0,0.0,0.0
38.05092,-78.50729059999998,R,Retail Store,1988.0,6800.0,10.0,2.0,"2401 ARLINGTON BLVD Charlottesville, VA",2401 ARLINGTON BLVD,Commercial,0,0.0,0.0
38.05092,-78.50729059999998,R,Storage Warehouse,2002.0,546.0,8.0,1.0,"2401 ARLINGTON BLVD Charlottesville, VA",2401 ARLINGTON BLVD,Commercial,0,0.0,0.0
38.05092,-78.50729059999998,R,Recreational Enclosure,2000.0,429.0,10.0,1.0,"2401 ARLINGTON BLVD Charlottesville, VA",2401 ARLINGTON BLVD,Commercial,0,0.0,0.0
38.050284458083794,-78.50729508634541,R,Convenience Market,1980.0,2400.0,12.0,1.0,"2401 ARLINGTON BLVD Charlottesville, VA",2401 ARLINGTON BLVD,Commercial,0,0.0,0.0
38.05092,-78.50729059999998,R,Office,1997.0,3344.0,12.0,1.0,"2401 ARLINGTON BLVD Charlottesville, VA",2401 ARLINGTON BLVD,Commercial,0,0.0,0.0
38.05092,-78.50729059999998,R,Convenience Market,1920.0,824.0,12.0,1.0,"2401 ARLINGTON BLVD Charlottesville, VA",2401 ARLINGTON BLVD,Commercial,0,0.0,0.0
38.0256093,-78.51184690000002,R,Office Building,1986.0,608.0,16.0,1.0,"2114 HILL ST Charlottesville, VA",2114 HILL ST,Commercial,0,0.0,0.0
